2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Yorick       50.82%  11083
    Warwick      50.61%  15343
    Teemo        50.42%  15515
    Zyra         50.39%  10240
    Olaf         50.35%   3120
    Ivern        50.27%   1645
    Briar        50.26%   7332
    Lissandra    50.22%   5151
    Sett         50.12%  17119
    Kayle        50.00%   6772
    Velkoz       49.97%   8783
    Shyvana      49.92%   4189
    Trundle      49.86%  10737
    Nocturne     49.83%  16464
    Xerath       49.82%  20014
    Nami         49.79%   8927
    Fiddlesticks 49.79%   6399
    Zilean       49.75%   3938
    Morgana      49.66%  13690
    Galio        49.63%  10831
    Taric        49.58%   1658
    Soraka       49.50%   7315
    Malzahar     49.49%  12330
    Diana        49.45%  17615
    Urgot        49.44%   4832
    Brand        49.43%  12826
    Quinn        49.42%   4077
    Mordekaiser  49.41%  15872
    Bard         49.41%   5973
    Naafiri      49.40%   9282
    DrMundo      49.35%  10547
    Hwei         49.28%   9320
    Amumu        49.21%   8186
    Rell         49.18%   4469
    Graves       49.15%  17818
    Volibear     49.12%  13193
    Kennen       49.10%   4287
    Maokai       49.10%   6306
    Cassiopeia   49.08%   3490
    MonkeyKing   49.06%   9716
    Ornn         49.04%   5913
    Fizz         49.03%   7901
    Viktor       49.03%  14126
    Elise        49.00%   6521
    Neeko        48.99%   7300
    Renekton     48.98%  11580
    Karma        48.97%  28625
    TahmKench    48.97%   8130
    Poppy        48.96%   8545
    Leona        48.93%  10474
    Heimerdinger 48.87%   4915
    Vex          48.82%   6979
    Akshan       48.76%   3136
    Sion         48.69%   8939
    Chogath      48.67%   9501
    Khazix       48.63%  12487
    Kassadin     48.61%   2705
    Malphite     48.61%  16823
    Lux          48.58%  37201
    Braum        48.58%   7752
    RekSai       48.57%   1645
    Milio        48.57%   4091
    Vladimir     48.56%   8635
    Akali        48.52%  16631
    Irelia       48.50%  12398
    Swain        48.47%   9382
    MasterYi     48.45%  15457
    JarvanIV     48.40%  10906
    Garen        48.40%  15633
    Shaco        48.40%  16741
    Sona         48.30%   4704
    Aurora       48.28%   7486
    Nasus        48.27%  11351
    Pantheon     48.22%  18308
    Rammus       48.21%   4352
    Karthus      48.17%   3720
    Seraphine    48.15%   8850
    Lillia       48.13%   8408
    XinZhao      48.12%  11308
    Zoe          48.11%   6360
    Illaoi       48.11%   6583
    Fiora        48.10%   6245
    Aatrox       48.06%  19348
    Ezreal       48.04%  373654
    Sylas        48.02%  27807
    Tryndamere   48.01%   7080
    Ekko         47.96%  13545
    Renata       47.95%   1562
    Annie        47.95%   5099
    Kayn         47.94%  15839
    Gwen         47.92%   8521
    Senna        47.89%  11068
    Darius       47.87%  18941
    Viego        47.87%  22095
    Veigar       47.86%  10758
    Ryze         47.85%   6268
    Jax          47.79%  14738
    Kindred      47.78%   5666
    Gangplank    47.77%   6644
    Taliyah      47.72%   4256
    Evelynn      47.64%   4347
    Janna        47.58%   4279
    Syndra       47.56%   7586
    Alistar      47.55%   6400
    Sejuani      47.54%   5732
    Ahri         47.48%  18103
    Talon        47.47%   8410
    Leblanc      47.46%  12814
    TwistedFate  47.35%  10157
    KogMaw       47.17%    619
    Udyr         47.13%   4123
    Nunu         47.01%   4988
    AurelionSol  47.00%   4726
    LeeSin       46.95%  34342
    Vayne        46.93%   4059
    Orianna      46.92%   7966
    Yasuo        46.91%  24585
    Vi           46.87%  11901
    Katarina     46.83%   9054
    Lulu         46.78%   8533
    Gragas       46.75%   8702
    Camille      46.75%   5500
    Mel          46.73%  16433
    Shen         46.70%   8887
    Jinx         46.67%   1909
    Singed       46.67%   3512
    Zac          46.66%   7617
    Ziggs        46.65%   3775
    Rakan        46.59%   4990
    Pyke         46.58%  11379
    Riven        46.53%   6692
    Belveth      46.50%   2770
    Yone         46.49%  26675
    Nautilus     46.37%  12046
    Ambessa      46.36%   7651
    Tristana     46.26%   2912
    Jayce        46.23%  12775
    Hecarim      46.17%   5419
    Zed          46.17%  21437
    Blitzcrank   46.15%  10487
    Gnar         46.08%   5686
    Thresh       45.88%  16496
    Qiyana       45.38%   3568
    Nidalee      45.27%   8469
    Corki        45.23%   1857
    Caitlyn      45.18%   3703
    Ashe         45.16%   4338
    KSante       44.86%   7336
    Skarner      44.49%   2949
    Azir         44.33%   5098
    Smolder      44.10%   6851
    Varus        44.05%   3292
    Xayah        44.02%    468
    Rengar       43.99%   3728
    Jhin         43.81%   2853
    Nilah        43.81%    210
    MissFortune  43.71%   3766
    Rumble       43.65%   4983
    Samira       43.58%    615
    Zeri         43.19%    558
    Kalista      43.18%    572
    Yuumi        43.16%  12347
    Twitch       42.60%   2373
    Kaisa        42.60%   2932
    Aphelios     42.43%    469
    Draven       42.26%    627
    Lucian       42.21%   2066
    Sivir        41.84%    576
    Yunara       37.63%    590


# Fiddlesticks
                  win%   matches
    RekSai       62.09%    153
    Taric        57.59%    415
    Naafiri      56.28%   1441
    Warwick      55.49%   1896
    Akshan       55.00%   1249
    Urgot        54.95%   1423
    Quinn        54.62%   1040
    Sett         54.43%   3915
    KogMaw       54.37%    767
    Zac          54.31%    823
    Yorick       53.76%   2329
    Ivern        53.65%    192
    Kayn         53.58%   1454
    XinZhao      53.57%   1021
    Trundle      53.54%   1765
    MasterYi     53.43%   1123
    Vayne        53.39%   3345
    Lillia       53.16%    491
    Kled         53.15%    604
    MonkeyKing   53.11%   1045
    Sejuani      53.04%    460
    Heimerdinger 52.61%    901
    Olaf         52.58%    698
    Vex          52.45%   1306
    Janna        52.43%    761
    Yasuo        52.39%   5913
    Elise        52.38%    546
    Viego        52.34%   1771
    Nocturne     52.34%   1349
    Maokai       52.28%   1052
    Irelia       52.25%   2955
    Nilah        52.21%    770
    Ekko         52.14%   1611
    Braum        52.12%   1604
    Tryndamere   52.10%   1451
    Sona         52.02%    769
    Sivir        51.96%   2319
    Nautilus     51.95%   2980
    Belveth      51.92%    260
    Thresh       51.73%   3236
    Jinx         51.73%   6256
    Nasus        51.71%   2197
    Fiora        51.68%   1366
    Zed          51.60%   4576
    Diana        51.58%   2148
    Chogath      51.58%   1900
    Anivia       51.57%    762
    Aatrox       51.54%   3205
    Nidalee      51.54%    551
    Kayle        51.52%   1510
    Xayah        51.50%   1796
    Pantheon     51.48%   3413
    Garen        51.45%   3172
    Galio        51.44%   2154
    MissFortune  51.40%   6187
    Lulu         51.40%   2687
    Nami         51.39%   2477
    Rakan        51.39%   1113
    Poppy        51.37%   1316
    Briar        51.36%    734
    Rell         51.36%   1213
    Hwei         51.34%   1644
    TahmKench    51.31%   1674
    Milio        51.30%   1460
    Samira       51.27%   2128
    TwistedFate  51.24%   1688
    Shaco        51.21%   1527
    LeeSin       51.21%   2068
    Fizz         51.20%   1463
    Vladimir     51.19%   1678
    Alistar      51.13%   1332
    Jax          50.99%   2485
    Ambessa      50.93%   1504
    Karthus      50.92%    271
    Renata       50.90%    332
    Tristana     50.90%   3401
    Draven       50.87%   1496
    Ornn         50.86%   1286
    Corki        50.81%   1228
    DrMundo      50.79%   2473
    Morgana      50.79%   2288
    Twitch       50.68%   1849
    Fiddlesticks 50.68%  77395
    Veigar       50.62%   2258
    Kaisa        50.62%   5972
    Swain        50.61%   1891
    Soraka       50.57%   1222
    JarvanIV     50.57%    967
    Akali        50.56%   2767
    Gwen         50.55%   1098
    Jhin         50.51%   7484
    Viktor       50.45%   2109
    Sion         50.43%   2086
    Hecarim      50.41%    490
    Mordekaiser  50.41%   2579
    Annie        50.39%   1038
    Teemo        50.38%   2338
    Ahri         50.35%   3319
    Zyra         50.34%   1458
    Amumu        50.24%    842
    Leona        50.24%   2325
    Caitlyn      50.22%   7119
    Khazix       50.17%    891
    Malzahar     50.15%   2590
    Riven        50.13%   1492
    Darius       50.13%   3519
    Yone         50.08%   6150
    Vi           50.00%    974
    Volibear     49.87%   1981
    Zoe          49.86%   1057
    Talon        49.81%   1558
    Jayce        49.80%   2014
    Ezreal       49.79%   6399
    Pyke         49.78%   2019
    Lucian       49.72%   3886
    Shen         49.69%   2097
    Xerath       49.68%   2345
    Shyvana      49.67%    302
    Lux          49.61%   4955
    Seraphine    49.58%   1531
    Lissandra    49.56%    900
    Illaoi       49.47%   1318
    Senna        49.45%   2890
    Aphelios     49.39%   1794
    Smolder      49.31%   3715
    Ashe         49.29%   4386
    Graves       49.22%   1095
    Kindred      49.14%    409
    Karma        49.14%   1868
    KSante       49.14%   1341
    Velkoz       49.11%   1236
    Yuumi        49.10%   1605
    Leblanc      49.07%   1773
    Blitzcrank   48.99%   1790
    Sylas        48.99%   3576
    Kassadin     48.99%    594
    Rumble       48.97%    533
    Zeri         48.93%   1173
    Renekton     48.93%   2291
    Kennen       48.85%    780
    Brand        48.81%   1510
    Ryze         48.78%   1064
    Qiyana       48.73%    987
    Camille      48.66%   1159
    Katarina     48.62%   1925
    Nunu         48.60%    428
    Zilean       48.46%    681
    Aurora       48.45%   1193
    Gnar         48.45%   1222
    Varus        48.41%   2799
    Syndra       48.39%   1399
    Gangplank    48.37%   1470
    Skarner      48.25%    228
    Neeko        48.18%   1042
    Udyr         48.16%    517
    Rengar       48.14%    403
    AurelionSol  48.13%    935
    Malphite     48.04%   2966
    Azir         48.04%    893
    Singed       48.04%    637
    Evelynn      47.90%    286
    Bard         47.74%    817
    Ziggs        47.47%    868
    Orianna      47.30%   1370
    Rammus       46.97%    396
    Kalista      46.74%    614
    Mel          46.72%   3052
    Gragas       45.73%   1008
    Cassiopeia   45.10%    612
    Taliyah      44.30%    596
    Yunara       43.88%   1103


# Fiora
                  win%   matches
    Tryndamere   56.41%    234
    Nilah        55.98%    702
    Taric        55.09%    481
    Heimerdinger 55.09%    432
    Rammus       54.92%    834
    Taliyah      54.76%    997
    Kennen       54.62%    260
    Ivern        54.50%    433
    Ornn         54.35%     92
    KogMaw       54.31%    801
    Shyvana      54.29%    757
    Teemo        53.96%   1125
    Renekton     53.94%    165
    Bard         53.85%   1051
    Volibear     53.72%   1841
    DrMundo      53.70%    540
    Amumu        53.32%   1930
    Sona         53.31%    906
    Annie        53.19%   1098
    Shen         53.01%    532
    Lillia       52.89%   1834
    Diana        52.51%   3849
    Rumble       52.40%    229
    Lissandra    52.39%   1088
    Xerath       52.25%   3290
    Chogath      52.25%    668
    Milio        52.23%   1790
    Sivir        52.13%   2141
    Samira       52.08%   1780
    Malzahar     52.06%   2618
    Kayle        52.06%    340
    Jax          52.05%    828
    Soraka       52.05%   1510
    Velkoz       51.98%   1489
    Nami         51.96%   2989
    Viktor       51.94%   2609
    Vex          51.90%   1501
    Sejuani      51.88%   1089
    Leona        51.87%   2589
    Brand        51.81%   2154
    Orianna      51.78%   1715
    Cassiopeia   51.78%    591
    Fiddlesticks 51.68%   1366
    Janna        51.68%    954
    Galio        51.64%   2198
    Zyra         51.54%   1948
    MonkeyKing   51.52%   1380
    Hwei         51.49%   2016
    Morgana      51.36%   2903
    JarvanIV     51.33%   2065
    Rell         51.30%   1423
    Aurora       51.07%   1259
    Udyr         51.06%    754
    Swain        51.05%   2055
    Briar        51.02%   1464
    MissFortune  51.01%   5028
    Braum        51.00%   1994
    Poppy        50.97%   1285
    Kayn         50.96%   3120
    Kindred      50.95%    995
    Ekko         50.91%   3127
    AurelionSol  50.87%    979
    Anivia       50.85%    883
    Nocturne     50.73%   3022
    Ryze         50.64%   1088
    Warwick      50.59%   2307
    Zac          50.53%   1328
    Trundle      50.45%   1344
    Lulu         50.45%   3477
    Ziggs        50.45%   1122
    Leblanc      50.37%   2317
    Aphelios     50.35%   1732
    Singed       50.34%    147
    Elise        50.34%   1343
    Jhin         50.32%   6584
    Belveth      50.25%    597
    Smolder      50.23%   3195
    Gwen         50.23%    649
    Karma        50.19%   2588
    Akali        50.19%   2869
    Syndra       50.18%   1686
    Lux          50.15%   6303
    Thresh       50.11%   4007
    Irelia       50.05%    955
    Fiora        50.05%  73486
    Vayne        50.04%   2566
    Gragas       49.88%    838
    Naafiri      49.88%   1668
    Karthus      49.88%    808
    Sett         49.85%    333
    Jinx         49.81%   5870
    Vi           49.79%   2151
    Maokai       49.77%   1073
    TwistedFate  49.65%   1992
    XinZhao      49.64%   2101
    Caitlyn      49.63%   6480
    Xayah        49.62%   1711
    Lucian       49.57%   4144
    Shaco        49.50%   2913
    Zoe          49.50%   1301
    Talon        49.48%   1546
